shape,count,base_wall_ms,candidate_wall_ms,base_cpu_ms,candidate_cpu_ms,paired_ratio,paired_min,paired_max
0,4,10.206774,10.833217999999999,10.0975,10.39,1.0708839890041277,0.6207127299056033,1.4144779775320533
0,128,20.612026,16.8544815,20.484,16.2505,0.8292398106787632,0.6747135580992693,0.9642990966296696
0,256,29.572861500000002,19.4367755,29.3915,19.304000000000002,0.64534122362715,0.5835070962269819,0.714731324754956
0,512,62.604922,27.8265025,62.077,27.672,0.46951500835369103,0.38290738862822876,0.5869754534147141
0,1024,141.93228499999998,45.7291465,141.778,45.5895,0.3195162236144625,0.26928474852918505,0.3676866305948759
0,2048,460.6603755,78.7956485,460.356,77.3555,0.17195404465408654,0.13277059681291384,0.18941129892169473
0,4096,1616.407451,144.43118099999998,1615.643,144.1925,0.08899794600576227,0.07973874921155384,0.10579305667231127
1,4,10.093940499999999,11.221394499999999,10.0125,11.1175,1.102440803461715,0.7481138949770394,1.3079727927250753
1,128,13.093391,11.8098545,13.0105,11.7255,0.9316643924034085,0.8371616143145897,1.0727133820074213
1,256,16.138482500000002,13.0132355,16.0255,12.8785,0.8192090608853038,0.7592052036865905,1.012049463645112
1,512,23.4032955,18.5065025,23.2835,18.366999999999997,0.7071378083453457,0.6020348207254476,0.9506727131580152
1,1024,35.4027595,21.2145565,35.255,21.061500000000002,0.6183413500875539,0.5346448669875302,0.6290418034078055
1,2048,94.1667935,36.304885,92.544,36.1285,0.4391658173630027,0.1530869235376195,0.6334131421420219
1,4096,253.6637665,82.936488,250.71749999999997,82.743,0.34902065013456623,0.2184294648606365,1.0467813565099828
2,0,36.6200235,23.7448345,35.543499999999995,20.7365,0.9082585695743637,0.300533415930447,1.7926728540105579
