checksum,cpu_seconds,mode,output_bytes,pair,peak_rss_kib,variant,wall_ns,workload
9280,,quality,,4,,baseline,32535228,kernel_10000000_calls
,0.120888,quality,200824,4,42744,candidate,121110511,compile_1024_functions
9280,,quality,,4,,candidate,22949197,kernel_10000000_calls
,0.06311900000000001,quality,200824,5,42884,candidate,63325150,compile_1024_functions
9280,,quality,,5,,candidate,27373152,kernel_10000000_calls
,0.281884,quality,217208,5,42844,baseline,282156486,compile_1024_functions
9280,,quality,,5,,baseline,124460598,kernel_10000000_calls
,0.16685,quality,217208,6,43048,baseline,172337849,compile_1024_functions
9280,,quality,,6,,baseline,32548834,kernel_10000000_calls
,0.074517,quality,200824,6,42812,candidate,74737614,compile_1024_functions
9280,,quality,,6,,candidate,24260671,kernel_10000000_calls
,0.06584,quality,200824,7,42876,candidate,66027740,compile_1024_functions
9280,,quality,,7,,candidate,23762530,kernel_10000000_calls
,0.6579029999999999,quality,217208,7,42708,baseline,670648586,compile_1024_functions
9280,,quality,,7,,baseline,39445382,kernel_10000000_calls
