shape,depth,baseline_wall_ms,patch_wall_ms,paired_ratio,ratio_min,ratio_max,baseline_cpu_ms,patch_cpu_ms,baseline_rss_mib,patch_rss_mib
comma,64,9.907174000000001,8.8224075,0.9939275429508343,0.2888958476674265,2.420242883690335,3.697,3.3655,14.16796875,14.16796875
comma,256,8.296239499999999,9.716309500000001,1.1602322647068053,0.2494830773806111,3.5482163055095093,3.9855,3.4749999999999996,14.16796875,14.16796875
comma,1024,31.6653715,10.4204575,0.5512216123779554,0.2683299147293779,0.7500445751735006,12.536999999999999,4.412,14.16796875,14.16796875
comma,4096,227.5573035,17.425172500000002,0.11318489983594787,0.023235164704777253,0.21310456377307826,128.6035,6.147,14.16796875,14.16796875
comma,16384,2131.9736734999997,16.3248715,0.007244119982100168,0.004804131624463509,0.011427956763184772,1939.2555000000002,14.488,15.7890625,15.7890625
mixed,64,7.438940499999999,6.4112855,0.9619915114613219,0.2250130563379378,3.17134691744493,3.65,3.6414999999999997,14.66796875,14.73046875
mixed,256,11.74976,8.497269,0.7327786718557345,0.17221674011508634,1.1890753654865958,5.3285,3.3804999999999996,15.185546875,15.18359375
mixed,1024,89.13123300000001,8.878855,0.10297831554291942,0.03900342893536201,0.9155719038067508,46.1235,4.5365,15.26171875,15.26171875
mixed,4096,761.3919305,10.367796,0.014965527073118491,0.009312949133470519,0.041113005930060786,672.7429999999999,7.763999999999999,15.44921875,15.44921875
mixed,16384,,24.8001155,,,,,23.525499999999997,,16.54296875
operations,0,8.6920325,8.382109999999999,1.0061708067808408,0.7811391723092759,1.3570377557678555,6.9275,7.382999999999999,15.9765625,15.9765625
parentheses,64,3.9446369999999997,8.1382725,2.1038098693675362,0.5492702042282694,55.217648040753154,2.3609999999999998,3.1799999999999997,14.29296875,14.29296875
parentheses,256,6.8267495,6.336117,0.670818159975574,0.45613854605057774,1.5256909966933425,2.2015,2.3229999999999995,14.41796875,14.41796875
parentheses,1024,9.176722999999999,9.54442,0.8820724085844869,0.31429740827948954,2.455304493183023,3.3419999999999996,3.5535,14.41796875,14.41796875
parentheses,4096,8.776941,9.367765,0.790521716572125,0.3298626838106318,2.3931030554979325,4.4025,4.1165,14.41796875,14.41796875
parentheses,16384,,8.0805765,,,,,6.0584999999999996,,16.001953125
postfix,64,3.4675725,3.7109365,0.9464991520178985,0.30642114475906346,2.01499177684646,3.2145,3.2404999999999995,15.44921875,15.44921875
postfix,256,4.808948,3.5655605,0.9039713518167323,0.45847178182416565,1.322599467263336,3.6705,3.3745,15.55078125,15.583984375
postfix,1024,13.4905975,3.477132,0.25531134602629457,0.18449622245205682,0.546976529412472,12.8765,3.276,15.6640625,15.6640625
postfix,4096,168.87500899999998,5.346252,0.027948899078603318,0.02198330958807848,0.04816760836126513,157.483,4.781499999999999,15.73046875,15.72265625
postfix,16384,,8.8789605,,,,,8.543,,16.08203125
prefix,64,7.0519289999999994,8.547200499999999,1.3596986272332292,0.18841776480051362,3.7089072924955597,3.2529999999999997,3.4234999999999998,14.41796875,14.41796875
prefix,256,14.4546035,6.983029,0.5268077171029096,0.13380497949004158,1.033830642212782,4.8614999999999995,3.6334999999999997,14.48046875,14.48046875
prefix,1024,83.1148665,21.3361255,0.25845737305813576,0.10066901770553018,1.96272686581056,34.315,4.525,14.54296875,14.54296875
prefix,4096,417.92006549999996,5.3619615,0.013895475327417275,0.007794159419775441,0.34488423298149073,290.513,4.6495,14.66796875,14.66796875
prefix,16384,,10.7884905,,,,,10.520499999999998,,16.03125
tiny,0,4.810883,4.514955499999999,1.0995268095321238,0.2171015485641097,9.003040580255538,3.485,4.4175,15.916015625,15.916015625
