F	2	f0	45	9368	50034	4869	70	64341	29	26	6	0	0	0	0	19090	26892	0	1	ok
F	3	f1	45	882	6272	1723	30	8907	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	4	f2	45	1072	4008	751	30	5861	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	5	f3	45	561	3777	561	30	4929	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	6	f4	45	501	3486	511	30	4528	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	7	f5	45	531	3537	531	30	4629	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	8	f6	45	391	3406	521	30	4348	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	9	f7	45	361	3646	531	30	4568	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	10	f8	45	501	3466	521	51	4539	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	11	f9	45	451	3436	501	30	4418	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	12	f10	45	361	3616	501	30	4508	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	13	f11	45	371	3446	501	30	4348	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	14	f12	45	431	3426	501	30	4388	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	15	f13	45	410	3246	501	20	4177	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	16	f14	45	351	3276	491	30	4148	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	17	f15	45	481	3086	491	30	4088	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	18	f16	45	370	3367	500	31	4268	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	19	f17	45	451	3446	501	30	4428	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	20	f18	45	321	3206	501	20	4048	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	21	f19	45	481	3457	490	31	4459	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	22	f20	45	371	3266	501	20	4158	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	23	f21	45	341	3136	501	30	4008	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	24	f22	45	471	3166	511	30	4178	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	25	f23	45	311	3125	501	30	3967	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	26	f24	45	351	3146	541	30	4068	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	27	f25	45	361	3176	491	30	4058	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	28	f26	45	451	3286	501	20	4258	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	29	f27	45	321	3185	501	30	4037	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	30	f28	45	311	3126	500	21	3958	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	31	f29	45	451	3446	491	30	4418	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	32	f30	45	351	3135	541	31	4058	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	33	f31	45	401	3166	501	20	4088	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	34	f32	45	561	3287	501	30	4379	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	35	f33	45	351	3236	501	20	4108	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	36	f34	45	361	3386	501	30	4278	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	37	f35	45	351	3246	501	30	4128	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	38	f36	45	551	3236	501	30	4318	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	39	f37	45	341	3296	501	30	4168	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	40	f38	45	340	3256	501	30	4127	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	41	f39	45	74980	5410	782	30	81202	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	42	f40	45	390	3237	500	31	4158	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	43	f41	45	311	3126	501	30	3968	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	44	f42	45	311	3406	521	30	4268	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	45	f43	45	561	3086	500	31	4178	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	46	f44	45	311	3166	501	30	4008	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	47	f45	45	301	3246	501	30	4078	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	48	f46	45	431	3126	501	30	4088	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	49	f47	45	310	3156	501	20	3987	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	50	f48	45	320	3126	491	30	3967	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	51	f49	45	310	3146	501	30	3987	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	52	f50	45	431	3135	501	30	4097	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	53	f51	45	301	3216	501	20	4038	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	54	f52	45	311	3015	491	30	3847	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	55	f53	45	431	3416	501	30	4378	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	56	f54	45	310	3176	511	30	4027	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	57	f55	45	320	3026	491	30	3867	29	26	6	0	0	0	0	19088	26892	0	1	ok
F	58	f56	45	310	3376	501	30	4217	29	26	6	0	0	0	0	19088	26892	0	1	ok
