F	1	add	5	8666	23965	2895	51	35577	4	3	1	0	0	0	0	4637	9036	0	1	ok
F	2	sum_pair	12	992	13365	30	20	14407	10	8	1	0	0	0	0	6648	7492	0	1	ok
F	3	main	18	251	8636	20	20	8927	11	9	1	0	0	0	0	8328	9412	0	1	ok
P	/home/david/531/inputs/tiny.c	289061	138399	150181	481	42819	19613	0	29	29	3	3	0	0	3	3	4	3	0	9412
