round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
0,0,0,1,0,0.036657816000000003,0.032416,0.0038249999999999998,26112000,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3595,0,1,2
0,0,1,0,0,0.041131948000000002,0.018495999999999999,0.0095519999999999997,26353664,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3595,0,1,79
0,1,0,0,0,0.020819601,0.012008,0.0085810000000000001,26226688,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3594,0,1,6
0,1,1,1,0,0.020395947000000001,0.011857999999999999,0.0081339999999999989,26345472,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3595,0,1,2
0,2,0,1,0,0.029186583000000002,0.018652999999999999,0.0094149999999999998,26124288,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3593,0,1,7
0,2,1,0,0,0.019624554000000002,0.015566,0.0038889999999999997,26169344,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3592,0,1,3
0,3,0,0,0,0.020516207000000002,0.020329,0,26341376,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3596,0,1,3
0,3,1,1,0,0.022351366000000001,0.013429,0.0076929999999999993,26173440,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3593,0,1,4
1,0,0,0,0,0.020376423000000001,0.012222,0.0079059999999999998,26140672,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3593,0,1,4
1,0,1,1,0,0.031178882000000002,0.021321,0.0063499999999999997,26136576,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3594,0,1,11
1,1,0,1,0,0.021119375000000003,0.011372999999999999,0.0078809999999999991,26066944,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3596,0,1,2
1,1,1,0,0,0.020145998000000002,0.019990999999999998,0,26054656,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3592,0,1,2
1,2,0,1,0,0.022361957000000002,0.018537999999999999,0.0036159999999999999,26300416,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3595,0,1,1
1,2,1,0,0,0.021322691000000001,0.012428,0.0086439999999999989,26173440,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3594,0,1,4
1,3,0,0,0,0.022327726000000003,0.014291,0.0079039999999999996,26177536,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3592,0,1,2
1,3,1,1,0,0.019737628,0.015578,0.0037959999999999999,26214400,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3593,0,1,3
