pair,variant,jobs,exit_code,peak_rss_kib,wall_seconds,user_seconds,system_seconds
0,base,2,0,620084,34.59572184800345,26.216635,8.177787
0,candidate,2,0,601696,32.47261045599589,24.817357,7.127404
1,candidate,2,0,601556,34.41765917900193,26.75905,7.262626
1,base,2,0,619808,34.55583493098675,26.619735,6.906166
2,base,2,0,619844,32.48722720099613,24.856073,7.035438
2,candidate,2,0,601740,34.348358164003,25.932468,7.425695
