case,variant,sample,wall_ns,cpu_seconds,peak_rss_kib,object_bytes,instructions,counter_running_percent
compiler-fast,before,0,4174685260,3.879991,1617368,37387728,11113556026,100.0
compiler-fast,after,0,3182815436,2.9564459999999997,1718964,36072528,11729751989,100.0
compiler-fast,after,1,3361501043,3.107309,1718756,36072528,11729753069,100.0
compiler-fast,before,1,12447124683,11.137872,1715972,37387728,11113533273,100.0
compiler-fast,before,2,12057020352,10.532485999999999,1715928,37387728,11113531667,100.0
compiler-fast,after,2,10122874720,8.845624999999998,1718984,36072528,11729760985,100.0
compiler-fast,after,3,8289542974,7.6006,1719048,36072528,11729758332,100.0
compiler-fast,before,3,10583001474,10.128361,1716432,37387728,11113506494,100.0
compiler-fast,before,4,8318536256,8.050181,1716460,37387728,11113524092,100.0
compiler-fast,after,4,3787216575,3.691701,1719172,36072528,11729752825,100.0
compiler-fast,after,5,2922679149,1.615819,1719048,36072528,11729750710,100.0
compiler-fast,before,5,4384980360,1.9948419999999998,1716496,37387728,11113520174,100.0
compiler-fast,before,6,2287662918,2.2498500000000003,1716496,37387728,11113506959,100.0
compiler-fast,after,6,2923106357,2.206978,1718848,36072528,11729751011,100.0
compiler-fast,after,7,2285227811,2.229303,1719152,36072528,11729750918,100.0
compiler-fast,before,7,2293626668,2.240425,1716048,37387728,11113497982,100.0
compiler-fast,before,8,3071301023,2.121733,1716304,37387728,11113521282,100.0
compiler-fast,after,8,3049245689,1.929049,1719084,36072528,11729749343,100.0
operations-fast,before,0,26612482,0.025612,59184,35976,106969098,100.0
operations-fast,after,0,26443627,0.025699,59924,35976,106969675,100.0
operations-fast,after,1,53289865,0.029006999999999998,60100,35976,106969707,100.0
operations-fast,before,1,29113953,0.028017999999999998,58972,35976,106969587,100.0
operations-fast,before,2,28868852,0.028172999999999997,58736,35976,106969237,100.0
operations-fast,after,2,31400394,0.029683,60268,35976,106969615,100.0
operations-fast,after,3,30434221,0.029591,60304,35976,106969447,100.0
operations-fast,before,3,31467445,0.030683999999999996,58864,35976,106969766,100.0
operations-fast,before,4,33753087,0.033018,59144,35976,106969089,100.0
operations-fast,after,4,33568073,0.032694,60068,35976,106969657,100.0
operations-fast,after,5,34474897,0.033589999999999995,59796,35976,106970466,100.0
operations-fast,before,5,37485380,0.036448999999999995,58792,35976,106969794,100.0
operations-fast,before,6,41998435,0.035071,58872,35976,106969284,100.0
operations-fast,after,6,37330288,0.035015,60116,35976,106971181,100.0
operations-fast,after,7,37007055,0.036035,60080,35976,106969188,100.0
operations-fast,before,7,40288741,0.038530999999999996,58672,35976,106969869,100.0
operations-fast,before,8,41915366,0.040753,58924,35976,106969290,100.0
operations-fast,after,8,41439000,0.040271,59856,35976,106969654,100.0
