case,variant,sample,wall_ns,cpu_seconds,peak_rss_kib,object_bytes,instructions,counter_running_percent
compiler-fast,before,0,1464622761,1.458259,914880,36149024,11792535086,100.0
compiler-fast,after,0,1477994899,1.472241,927704,36149024,11785598110,100.0
compiler-fast,after,1,1396352982,1.391251,927992,36149024,11785597467,100.0
compiler-fast,before,1,1388315803,1.383077,926344,36149024,11792535883,100.0
compiler-fast,before,2,1405245825,1.40024,926316,36149024,11792429296,100.0
compiler-fast,after,2,1404920737,1.399492,927620,36149024,11785597250,100.0
compiler-fast,after,3,1400305227,1.3949390000000002,928324,36149024,11785597619,100.0
compiler-fast,before,3,1399812838,1.39445,926520,36149024,11792534194,100.0
compiler-fast,before,4,1397865441,1.39222,928052,36149024,11792521767,100.0
compiler-fast,after,4,1479778247,1.474139,927904,36149024,11785597424,100.0
compiler-fast,after,5,1773290772,1.765944,927480,36149024,11785584042,100.0
compiler-fast,before,5,2717319642,1.54868,929464,36149024,11792535696,100.0
compiler-fast,before,6,3382156523,1.4074490000000002,929700,36149024,11792428220,100.0
compiler-fast,after,6,1576400069,1.56962,931168,36149024,11785598826,100.0
compiler-fast,after,7,1810757794,1.8035379999999999,931168,36149024,11785583758,100.0
compiler-fast,before,7,1817807102,1.8093939999999997,929680,36149024,11792522985,100.0
compiler-fast,before,8,1883689857,1.874665,929448,36149024,11792534861,100.0
compiler-fast,after,8,1768703103,1.761189,930896,36149024,11785597498,100.0
variadic-windows-fast,before,0,27330999,0.026840999999999997,51788,8291,106480426,100.0
variadic-windows-fast,after,0,35219150,0.03447,52764,6367,95800169,100.0
variadic-windows-fast,after,1,34521067,0.033988,53112,6367,95799789,100.0
variadic-windows-fast,before,1,28869635,0.028364,51140,8291,106480061,100.0
variadic-windows-fast,before,2,27255221,0.026715,51828,8291,106480933,100.0
variadic-windows-fast,after,2,25960256,0.025348,52212,6367,95799645,100.0
variadic-windows-fast,after,3,26320993,0.025692999999999997,52996,6367,95799956,100.0
variadic-windows-fast,before,3,29095083,0.028323,52232,8291,106480546,100.0
variadic-windows-fast,before,4,27640332,0.027065,52652,8291,106480034,100.0
variadic-windows-fast,after,4,26569283,0.026069,54392,6367,95799514,100.0
variadic-windows-fast,after,5,25881175,0.025416,54720,6367,95800120,100.0
variadic-windows-fast,before,5,29010010,0.028455,53212,8291,106480120,100.0
variadic-windows-fast,before,6,29172448,0.028663,51668,8291,106480065,100.0
variadic-windows-fast,after,6,27280419,0.026604000000000003,54604,6367,95799487,100.0
variadic-windows-fast,after,7,27130207,0.026683,53196,6367,95799272,100.0
variadic-windows-fast,before,7,28763041,0.028211,52584,8291,106479678,100.0
variadic-windows-fast,before,8,28394396,0.027874,53384,8291,106480122,100.0
variadic-windows-fast,after,8,27601433,0.026806,54456,6367,95800514,100.0
operations-fast,before,0,30103469,0.029471999999999998,52736,35976,107249276,100.0
operations-fast,after,0,30190822,0.029712999999999996,54812,35976,107229105,100.0
operations-fast,after,1,29090150,0.028210999999999996,54900,35976,107228428,100.0
operations-fast,before,1,30150549,0.029474,53468,35976,107249380,100.0
operations-fast,before,2,29962636,0.029313,52816,35976,107248913,100.0
operations-fast,after,2,29333340,0.028406999999999998,53604,35976,107228550,100.0
operations-fast,after,3,29019423,0.028487,55168,35976,107228742,100.0
operations-fast,before,3,28972645,0.028405999999999997,52552,35976,107249196,100.0
operations-fast,before,4,29502464,0.029002999999999998,51980,35976,107249181,100.0
operations-fast,after,4,29117977,0.028191999999999995,54524,35976,107228656,100.0
operations-fast,after,5,29209154,0.028238,55144,35976,107229027,100.0
operations-fast,before,5,29758671,0.029163,52840,35976,107249150,100.0
operations-fast,before,6,30373717,0.029606,53596,35976,107249382,100.0
operations-fast,after,6,29430976,0.028956999999999997,55396,35976,107228806,100.0
operations-fast,after,7,29501974,0.028918,54628,35976,107228568,100.0
operations-fast,before,7,29562768,0.029003,53732,35976,107248855,100.0
operations-fast,before,8,29285353,0.028725,51860,35976,107249500,100.0
operations-fast,after,8,29176875,0.028589,54860,35976,107228649,100.0
