case,variant,sample,wall_ns,cpu_seconds,peak_rss_kib,object_bytes,instructions,counter_running_percent
compiler-fast,before,0,3306846557,3.28252,984668,36155760,11814802457,100.0
compiler-fast,after,0,3021797663,3.000539,983552,36155760,11815018158,100.0
compiler-fast,after,1,3314931301,3.2913629999999996,983904,36155760,11815006522,100.0
compiler-fast,before,1,3837098420,3.7983849999999997,985136,36155760,11814910185,100.0
compiler-fast,before,2,2998056118,2.977342,984520,36155760,11814909870,100.0
compiler-fast,after,2,2783743425,2.765035,983600,36155760,11815019560,100.0
compiler-fast,after,3,1877690406,1.8674749999999998,983788,36155760,11815018806,100.0
compiler-fast,before,3,3454516608,1.3869420000000001,984048,36155760,11814908098,100.0
compiler-fast,before,4,2879473328,1.368133,984200,36155760,11814885883,100.0
compiler-fast,after,4,1391589281,1.385918,983740,36155760,11815018079,100.0
compiler-fast,after,5,1625101173,1.6178659999999998,983612,36155760,11815018503,100.0
compiler-fast,before,5,1719880992,1.7121279999999999,984336,36155760,11814906412,100.0
compiler-fast,before,6,2512003205,1.537452,984244,36155760,11814908819,100.0
compiler-fast,after,6,1685770490,1.678119,983984,36155760,11815004240,100.0
compiler-fast,after,7,1692767900,1.685063,983920,36155760,11815018646,100.0
compiler-fast,before,7,2748510682,1.4708199999999998,984128,36155760,11814907723,100.0
compiler-fast,before,8,1693942229,1.6870919999999998,984440,36155760,11814907026,100.0
compiler-fast,after,8,1743986148,1.7236479999999998,983720,36155760,11815017562,100.0
variadic-windows-fast,before,0,27033240,0.026036999999999998,57104,8460,96889246,100.0
variadic-windows-fast,after,0,25239659,0.024710999999999997,56436,8460,96888906,100.0
variadic-windows-fast,after,1,25702018,0.024685,56184,8460,96888951,100.0
variadic-windows-fast,before,1,25291171,0.024744,56672,8460,96888992,100.0
variadic-windows-fast,before,2,25835421,0.024906,56600,8460,96889013,100.0
variadic-windows-fast,after,2,25481048,0.024918999999999997,56020,8460,96889463,100.0
variadic-windows-fast,after,3,25749708,0.024762,56488,8460,96888989,100.0
variadic-windows-fast,before,3,25202970,0.02472,56840,8460,96889540,100.0
variadic-windows-fast,before,4,25164478,0.024264,56792,8460,96888839,100.0
variadic-windows-fast,after,4,26433237,0.025852999999999998,56168,8460,96889785,100.0
variadic-windows-fast,after,5,26374001,0.025745999999999998,56476,8460,96889708,100.0
variadic-windows-fast,before,5,26493769,0.025987999999999997,56972,8460,96889062,100.0
variadic-windows-fast,before,6,25955582,0.025362999999999997,56720,8460,96889320,100.0
variadic-windows-fast,after,6,26405224,0.025917,56444,8460,96888738,100.0
variadic-windows-fast,after,7,26914626,0.026402000000000002,56372,8460,96889442,100.0
variadic-windows-fast,before,7,26698634,0.026,57516,8460,96889118,100.0
variadic-windows-fast,before,8,26227599,0.025712,57172,8460,96888321,100.0
variadic-windows-fast,after,8,27239832,0.026588,55912,8460,96889575,100.0
variadic-aarch64-fast,before,0,15344806,0.014924999999999999,34240,9400,6287321,100.0
variadic-aarch64-fast,after,0,14161800,0.013721,33744,9816,6288813,100.0
variadic-aarch64-fast,after,1,15350563,0.014738999999999999,33648,9816,6288545,100.0
variadic-aarch64-fast,before,1,15356804,0.014823,34140,9400,6287302,100.0
variadic-aarch64-fast,before,2,17354464,0.016758,34384,9400,6287076,100.0
variadic-aarch64-fast,after,2,18615629,0.018026,33568,9816,6288491,100.0
variadic-aarch64-fast,after,3,14175224,0.01372,33736,9816,6288478,100.0
variadic-aarch64-fast,before,3,13887876,0.013460999999999999,34480,9400,6287507,100.0
variadic-aarch64-fast,before,4,14222507,0.013759,34816,9400,6287248,100.0
variadic-aarch64-fast,after,4,14507906,0.013959,33572,9816,6288437,100.0
variadic-aarch64-fast,after,5,15731991,0.015241999999999999,33608,9816,6288540,100.0
variadic-aarch64-fast,before,5,19120413,0.018444,34592,9400,6287558,100.0
variadic-aarch64-fast,before,6,18709321,0.017978,34424,9400,6287303,100.0
variadic-aarch64-fast,after,6,16958554,0.01642,33724,9816,6288519,100.0
variadic-aarch64-fast,after,7,16927235,0.016227,33884,9816,6288470,100.0
variadic-aarch64-fast,before,7,16561662,0.016092,34576,9400,6287270,100.0
variadic-aarch64-fast,before,8,17858894,0.017394,34516,9400,6287511,100.0
variadic-aarch64-fast,after,8,16136882,0.015669,33812,9816,6288526,100.0
operations-fast,before,0,25908802,0.025285000000000002,61260,35976,107227602,100.0
operations-fast,after,0,26691949,0.026243999999999996,60560,35976,107229202,100.0
operations-fast,after,1,28263883,0.0277,60408,35976,107228879,100.0
operations-fast,before,1,27558022,0.027119,61208,35976,107228442,100.0
operations-fast,before,2,27130607,0.026729,61256,35976,107227654,100.0
operations-fast,after,2,26881819,0.026366999999999998,60408,35976,107229739,100.0
operations-fast,after,3,27254809,0.026719,60452,35976,107228855,100.0
operations-fast,before,3,27679271,0.027129999999999998,60584,35976,107228384,100.0
operations-fast,before,4,27876993,0.027311,60676,35976,107228917,100.0
operations-fast,after,4,28023266,0.027403999999999998,60328,35976,107229409,100.0
operations-fast,after,5,27354120,0.026833,60700,35976,107229140,100.0
operations-fast,before,5,27584272,0.026949999999999998,60860,35976,107228346,100.0
operations-fast,before,6,27817440,0.027282999999999998,60588,35976,107228329,100.0
operations-fast,after,6,30084048,0.028997999999999996,60476,35976,107230165,100.0
operations-fast,after,7,28355109,0.027815,60288,35976,107229618,100.0
operations-fast,before,7,28267986,0.027718,60500,35976,107228202,100.0
operations-fast,before,8,28620742,0.027583,61088,35976,107228489,100.0
operations-fast,after,8,28372080,0.027846,60024,35976,107229382,100.0
