workload,series,pair,compiler,wall_s,user_s,system_s,rss_kib,minor_faults,major_faults,sha256
operations,before_pause,14,candidate,0.22983925500011537,0.045433,0.012993999999999999,49036,3751,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,14,baseline,0.07637845400313381,0.044912,0.011458,50272,3655,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,15,candidate,0.07835846600210061,0.036048,0.018869999999999998,28232,4187,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,15,baseline,0.10526521900465013,0.037323999999999996,0.016264,50560,3665,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,16,baseline,0.2834092429984594,0.03236,0.018494,46824,3750,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,16,candidate,0.09889457700046478,0.041489,0.0101,44860,2210,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,17,baseline,0.12202474799414631,0.0392,0.01444,51804,3447,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,17,candidate,0.27929310200124746,0.039712,0.013940999999999999,41232,3852,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,18,candidate,0.08259937500406522,0.034607,0.018827999999999998,40140,4019,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,18,baseline,0.05737838599452516,0.045466,0.009089999999999999,42852,3762,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,19,baseline,0.16117426900018472,0.046726,0.007221999999999999,45184,3900,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,19,candidate,0.12910509899666067,0.035743,0.019719,47024,3724,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,20,baseline,0.1071531550041982,0.031487,0.016928,46656,3716,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,20,candidate,0.09519131700653816,0.040649,0.013571999999999999,45124,3803,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,21,candidate,0.09807377099787118,0.036778,0.013559,47212,3795,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,21,baseline,0.1025768129984499,0.034503,0.016218,48572,3708,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,22,baseline,0.09022739800275303,0.035727999999999996,0.014745999999999999,48472,3718,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,22,candidate,0.07697805199859431,0.037494,0.013526999999999999,45096,3803,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,23,candidate,0.09943530299642589,0.040712,0.013496,45024,3803,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,23,baseline,0.0961306000026525,0.037940999999999996,0.012622999999999999,46504,3712,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,counter,baseline,0.18768565700156614,0.042686999999999996,0.033534999999999995,29476,5481,7,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,counter,candidate,0.23235923099855427,0.041895999999999996,0.03006,28140,5577,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
allocation,before_pause,-2,baseline,0.1452827539978898,0.032251,0.011807,45420,3370,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,-2,candidate,0.10651957400114043,0.028631999999999998,0.009519,35452,1389,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,-1,candidate,0.12148794100357918,0.031128,0.0146,43772,3474,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,-1,baseline,0.08187476499733748,0.033969,0.010346,45472,2881,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,0,candidate,0.12419161399884615,0.036191999999999995,0.010516,44004,3489,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,0,baseline,0.17420358399976976,0.036628,0.008901,47484,3392,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,1,candidate,0.046895781000785064,0.030586,0.013755,45888,3475,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,1,baseline,0.09558502399886493,0.033697,0.012626,47572,3411,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,2,baseline,0.09049661900644423,0.030678999999999998,0.013682,45312,3387,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,2,candidate,0.05857516200194368,0.036983999999999996,0.00822,43884,3496,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,3,baseline,0.047992605999752413,0.031709,0.010813999999999999,47632,3423,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,3,candidate,0.1278322139987722,0.033277,0.011399,26660,3774,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,4,candidate,0.06387343799724476,0.029035,0.013455,26652,3774,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,4,baseline,0.04236203800246585,0.029036,0.012032,33968,3598,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,5,candidate,0.08712063300481532,0.027621,0.014631,26740,3776,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,5,baseline,0.08337587200367125,0.026808,0.01385,28000,3682,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,6,candidate,0.09067088500160025,0.031839,0.011651,26748,3774,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,6,baseline,0.08588801099540433,0.028679,0.013510999999999999,30248,3686,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,7,baseline,0.08555680500285234,0.027757999999999998,0.014308,28028,3684,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,7,candidate,0.08817747000284726,0.027468,0.015061,26724,3762,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,8,candidate,0.0864452829991933,0.029467,0.012258999999999999,28208,3683,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,8,baseline,0.08311033599602524,0.026708,0.013361,28016,3681,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,9,baseline,0.0855352500002482,0.03275,0.009009,28004,3672,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,9,candidate,0.10073279500647914,0.027735,0.01334,26704,3773,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,10,baseline,0.09176071500405669,0.029657,0.012431,30372,3691,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,10,candidate,0.08812322500307346,0.03069,0.011191,26724,3775,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,11,candidate,0.13473434499610448,0.029032,0.013888999999999999,26580,3761,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,11,baseline,0.06903968899860047,0.029833,0.01151,27908,3683,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,12,baseline,0.045034636998025235,0.028588,0.014199,28316,3691,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,12,candidate,0.04541105699900072,0.028166999999999998,0.015430999999999999,26668,3764,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,13,baseline,0.06615058400348062,0.030067999999999998,0.011642,28084,3682,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,13,candidate,0.18777032499929192,0.030108,0.013227,26672,3777,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,14,candidate,0.13590099800057942,0.035487,0.009946,26732,3775,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,14,baseline,0.176979862000735,0.027968999999999997,0.016488,28116,3674,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,15,candidate,0.09399612199922558,0.028079999999999997,0.01702,28696,3774,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,15,baseline,0.06591172300250037,0.035636999999999995,0.008409999999999999,28344,3692,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,16,baseline,0.04435116099921288,0.031439999999999996,0.011696999999999999,28144,3672,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,16,candidate,0.04410505000123521,0.032907,0.009968,26704,3775,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,17,baseline,0.04381357099919114,0.027318,0.014471,28120,3668,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
