workload,pair,mode,elapsed_ns,cpu_seconds,user_seconds,system_seconds,rss_kib,output_bytes,output_sha256,instructions:u,cycles:u,task-clock:u,minor_faults,major_faults
operations,12,direct,19556004,0.019102,0.015274,0.003828,60348,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107572893.0,47006110.0,17.75,954,0
operations,12,reference,18209397,0.017723,0.012835,0.004888,60688,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472280.0,46043808.0,17.77,508,0
operations,13,reference,18736018,0.018331999999999998,0.014478999999999999,0.0038529999999999997,60624,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472555.0,45728778.0,17.64,960,0
operations,13,direct,19941317,0.019478,0.013618,0.00586,60408,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573824.0,46275382.0,18.0,963,0
operations,14,reference,19393343,0.018716,0.016812,0.0019039999999999999,60816,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472224.0,46128041.0,18.72,509,0
operations,14,direct,19688074,0.019289,0.016243,0.0030459999999999997,60792,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107572656.0,46632583.0,18.44,509,0
operations,15,direct,19725373,0.019209999999999998,0.017181,0.002029,61112,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573334.0,45030097.0,18.45,509,0
operations,15,reference,20551682,0.020082999999999997,0.016071,0.004012,60524,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472150.0,44935710.0,18.09,957,0
operations,16,direct,19647958,0.019000999999999997,0.013996999999999999,0.005004,60680,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573216.0,46347623.0,18.46,960,0
operations,16,reference,19227416,0.018616,0.014702,0.003914,60576,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472596.0,45395741.0,18.25,959,0
operations,17,reference,24940354,0.024153,0.016125,0.008028,60604,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107473189.0,45069878.0,17.73,994,0
operations,17,direct,18890384,0.018397,0.014305,0.004092,60932,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573520.0,46026062.0,17.16,960,0
operations,18,reference,18491671,0.017854,0.012884999999999999,0.0049689999999999995,60728,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472512.0,45075124.0,16.8,956,0
operations,18,direct,18587150,0.018182999999999998,0.015184,0.002999,60740,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107572610.0,45564918.0,16.7,961,0
operations,19,direct,18778444,0.018303999999999997,0.013236999999999999,0.0050669999999999995,60516,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573058.0,46106119.0,17.34,959,0
operations,19,reference,17848198,0.017456,0.012595,0.004861,60708,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472255.0,48924951.0,18.5,511,0
operations,20,reference,18051470,0.017633,0.012463,0.00517,60544,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107471827.0,45468790.0,16.75,948,0
operations,20,direct,18245153,0.017764,0.014813,0.002951,60688,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107572652.0,45485420.0,16.96,962,0
operations,21,reference,17964586,0.017498,0.013609,0.0038889999999999997,60544,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472625.0,45343311.0,17.05,959,0
operations,21,direct,19551288,0.019118,0.015099999999999999,0.004018,60708,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573373.0,47440716.0,18.89,961,0
operations,22,reference,19116703,0.018718,0.012806,0.005912,60668,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107471848.0,45667095.0,18.07,959,0
