case,variant,sample,wall_ns,cpu_seconds,peak_rss_kib,object_bytes,instructions,counter_running_percent
compiler-fast,before,0,2888430299,1.406009,922868,36162736,11819090013,100.0
compiler-fast,after,0,4018563135,1.407836,934648,36162736,11823861315,100.0
compiler-fast,after,1,1443172784,1.394012,936072,36162736,11823861872,100.0
compiler-fast,before,1,1718716758,1.655209,932972,36162736,11819089826,100.0
compiler-fast,before,2,1799691173,1.733504,936684,36162736,11819089262,100.0
compiler-fast,after,2,1788495038,1.725737,936452,36162736,11823860849,100.0
compiler-fast,after,3,1768633563,1.702024,937932,36162736,11823840101,100.0
compiler-fast,before,3,2854762296,1.4588480000000001,934644,36162736,11819076164,100.0
compiler-fast,before,4,2271504755,1.692554,934888,36162736,11819090555,100.0
compiler-fast,after,4,1771739614,1.702184,936072,36162736,11823861747,100.0
compiler-fast,after,5,2185868177,2.093488,936144,36162736,11823754693,100.0
compiler-fast,before,5,3323552398,3.2501879999999996,934896,36162736,11819077946,100.0
compiler-fast,before,6,3347224250,3.29486,934696,36162736,11818984324,100.0
compiler-fast,after,6,3245350674,3.191973,935884,36162736,11823863240,100.0
compiler-fast,after,7,4671163945,4.578846,936204,36162736,11823864014,100.0
compiler-fast,before,7,5390143408,3.0097479999999996,938776,36162736,11819090821,100.0
compiler-fast,before,8,4371663019,2.938627,938444,36162736,11819069334,100.0
compiler-fast,after,8,3264470092,3.1058440000000003,941208,36162736,11823862798,100.0
aggregate-windows-fast,before,0,55402711,0.052494,55280,16185,110789476,100.0
aggregate-windows-fast,after,0,51546055,0.04919899999999999,55924,12181,96673926,100.0
aggregate-windows-fast,after,1,53848895,0.050852999999999995,56484,12181,96673379,100.0
aggregate-windows-fast,before,1,61343636,0.05738599999999999,55056,16185,110789518,100.0
aggregate-windows-fast,before,2,61780551,0.058265,54856,16185,110789639,100.0
aggregate-windows-fast,after,2,57942422,0.054663,56404,12181,96674307,100.0
aggregate-windows-fast,after,3,58991393,0.055921,56452,12181,96673906,100.0
aggregate-windows-fast,before,3,65736079,0.062208,54936,16185,110789164,100.0
aggregate-windows-fast,before,4,63026926,0.059733999999999995,55256,16185,110789747,100.0
aggregate-windows-fast,after,4,60029359,0.056354,56492,12181,96673934,100.0
aggregate-windows-fast,after,5,62269429,0.0593,56612,12181,96674037,100.0
aggregate-windows-fast,before,5,67075183,0.06355999999999999,55128,16185,110789295,100.0
aggregate-windows-fast,before,6,71133371,0.066684,55100,16185,110789801,100.0
aggregate-windows-fast,after,6,76755303,0.061889,55800,12181,96674126,100.0
aggregate-windows-fast,after,7,62830507,0.05755299999999999,55936,12181,96674521,100.0
