case,variant,sample,wall_ns,cpu_seconds,peak_rss_kib,object_bytes,instructions,counter_running_percent
aggregate-windows-fast,before,7,63720964,0.05989,55172,16185,110788725,100.0
aggregate-windows-fast,before,8,66011960,0.061947,54848,16185,110789960,100.0
aggregate-windows-fast,after,8,59926772,0.056278999999999996,56304,12181,96673644,100.0
aggregate-aarch64-fast,before,0,28547918,0.027232,32432,9472,6260429,100.0
aggregate-aarch64-fast,after,0,28139530,0.026849,33376,9472,6260866,100.0
aggregate-aarch64-fast,after,1,28409763,0.026951999999999997,33252,9472,6260622,100.0
aggregate-aarch64-fast,before,1,30708050,0.028599,32132,9472,6260311,100.0
aggregate-aarch64-fast,before,2,31168538,0.029357,32480,9472,6260300,100.0
aggregate-aarch64-fast,after,2,31514605,0.028276999999999997,33568,9472,6260403,100.0
aggregate-aarch64-fast,after,3,27494679,0.026052,33260,9472,6260533,100.0
aggregate-aarch64-fast,before,3,28142129,0.026965999999999997,32492,9472,6260356,100.0
aggregate-aarch64-fast,before,4,28775379,0.027112999999999998,32400,9472,6261201,100.0
aggregate-aarch64-fast,after,4,27606562,0.026425999999999998,33768,9472,6260747,100.0
aggregate-aarch64-fast,after,5,27525913,0.026521999999999997,33372,9472,6260539,100.0
aggregate-aarch64-fast,before,5,29885550,0.02718,32356,9472,6260278,100.0
aggregate-aarch64-fast,before,6,28801575,0.027476999999999998,32472,9472,6260310,100.0
aggregate-aarch64-fast,after,6,28232449,0.026748,33612,9472,6260262,100.0
aggregate-aarch64-fast,after,7,27980512,0.026673,33476,9472,6260302,100.0
aggregate-aarch64-fast,before,7,28442735,0.027152999999999997,32496,9472,6260587,100.0
aggregate-aarch64-fast,before,8,26971390,0.025759999999999998,32012,9472,6260628,100.0
aggregate-aarch64-fast,after,8,25788856,0.024772,33488,9472,6260312,100.0
operations-fast,before,0,55114720,0.05262599999999999,58704,35976,107230497,100.0
operations-fast,after,0,54350814,0.051565,60120,35976,107239433,100.0
operations-fast,after,1,53483836,0.05105,60568,35976,107239065,100.0
operations-fast,before,1,56160996,0.052375,59004,35976,107230555,100.0
operations-fast,before,2,55970267,0.052291,59036,35976,107230878,100.0
operations-fast,after,2,52895715,0.050204,60648,35976,107238727,100.0
operations-fast,after,3,54720828,0.051630999999999996,60152,35976,107238857,100.0
operations-fast,before,3,54686519,0.05166,59140,35976,107229952,100.0
operations-fast,before,4,53506578,0.052169,59116,35976,107229953,100.0
operations-fast,after,4,50201182,0.04932,60324,35976,107239710,100.0
operations-fast,after,5,51260682,0.050356,60216,35976,107239171,100.0
operations-fast,before,5,50189540,0.048705,58920,35976,107230476,100.0
operations-fast,before,6,49356766,0.048394,58944,35976,107229975,100.0
operations-fast,after,6,49823125,0.048875,60188,35976,107239270,100.0
operations-fast,after,7,50376008,0.048938,60200,35976,107238578,100.0
operations-fast,before,7,51754321,0.050649,58728,35976,107230421,100.0
operations-fast,before,8,49045198,0.047406,58980,35976,107230206,100.0
operations-fast,after,8,52523718,0.049712,59960,35976,107239386,100.0
