case,variant,sample,wall_ns,cpu_seconds,peak_rss_kib,object_bytes,instructions,counter_running_percent
compiler-fast,before,0,3218084532,3.191812,967796,36137088,11792327983,100.0
compiler-fast,after,0,3060236287,3.037597,967664,36137104,11786835307,100.0
compiler-fast,after,1,2677489877,2.659631,968020,36137104,11786834386,100.0
compiler-fast,before,1,3066125992,1.647706,967632,36137088,11792433020,100.0
compiler-fast,before,2,2027886184,1.7347959999999998,967592,36137088,11792432693,100.0
compiler-fast,after,2,1853831352,1.7910110000000001,967432,36137104,11786833664,100.0
compiler-fast,after,3,1711904372,1.649864,967220,36137104,11786834979,100.0
compiler-fast,before,3,1697154100,1.6348230000000001,967664,36137088,11792419068,100.0
compiler-fast,before,4,1908892765,1.679943,968364,36137088,11792433236,100.0
compiler-fast,after,4,1707035887,1.6461540000000001,967340,36137104,11786819177,100.0
compiler-fast,after,5,1698917671,1.638376,972332,36137104,11786833907,100.0
compiler-fast,before,5,1703066745,1.6428209999999999,973364,36137088,11792410342,100.0
compiler-fast,before,6,1697240693,1.638472,972528,36137088,11792432154,100.0
compiler-fast,after,6,2222564144,1.524883,967540,36137104,11786727583,100.0
compiler-fast,after,7,3703110515,1.4747249999999998,965872,36137104,11786833704,100.0
compiler-fast,before,7,1577418632,1.519494,966104,36137088,11792434334,100.0
compiler-fast,before,8,1781763093,1.714826,968004,36137088,11792434529,100.0
compiler-fast,after,8,1770000688,1.706326,967632,36137104,11786822034,100.0
operations-fast,before,0,26703225,0.025524,60912,35976,107184370,100.0
operations-fast,after,0,27993217,0.026929999999999996,59800,35976,107248563,100.0
operations-fast,after,1,27214133,0.026129,60584,35976,107248133,100.0
operations-fast,before,1,27821167,0.026484999999999998,59936,35976,107184630,100.0
operations-fast,before,2,28814547,0.027539,60020,35976,107184876,100.0
operations-fast,after,2,28133016,0.0271,60112,35976,107248518,100.0
operations-fast,after,3,28194621,0.027055,60584,35976,107248443,100.0
operations-fast,before,3,28513633,0.027486999999999998,60360,35976,107184953,100.0
operations-fast,before,4,28079215,0.026839000000000002,60600,35976,107184468,100.0
operations-fast,after,4,28524146,0.027448999999999998,60616,35976,107248220,100.0
operations-fast,after,5,33178902,0.031684000000000004,60524,35976,107247770,100.0
operations-fast,before,5,30294003,0.028654,60036,35976,107184679,100.0
operations-fast,before,6,30475687,0.028671999999999996,60428,35976,107184889,100.0
operations-fast,after,6,29446537,0.028115999999999995,60480,35976,107247977,100.0
operations-fast,after,7,29851796,0.028317999999999996,60500,35976,107248544,100.0
operations-fast,before,7,29083636,0.027466,60484,35976,107184344,100.0
operations-fast,before,8,30478867,0.028934,60024,35976,107184695,100.0
operations-fast,after,8,29483280,0.028267,59924,35976,107249094,100.0
