case,variant,sample,wall_ns,cpu_seconds,instructions,counter_running_percent
diagnostic-records,before,5,18668273,0.014899999999993696,5083120,100.00
diagnostic-records,before,6,20770392,0.015269000000004418,5083174,100.00
diagnostic-records,after,6,20429356,0.016169000000008538,5922487,100.00
diagnostic-records,after,7,21187067,0.01642600000000005,5922531,100.00
diagnostic-records,before,7,19893096,0.015108999999991823,5083398,100.00
diagnostic-records,before,8,19170858,0.014994000000011276,5083170,100.00
diagnostic-records,after,8,18664742,0.014805999999999209,5922555,100.00
diagnostic-records,after,9,19565490,0.014892999999985612,5922543,100.00
diagnostic-records,before,9,18984518,0.015008000000002575,5083179,100.00
diagnostic-records,before,10,19364405,0.014840999999997884,5083196,100.00
diagnostic-records,after,10,19612783,0.014939000000000924,5922558,100.00
diagnostic-records,after,11,19541754,0.015008000000013233,5922512,100.00
diagnostic-records,before,11,19876892,0.015086000000001931,5083123,100.00
diagnostic-records,before,12,19157352,0.014914999999991352,5083206,100.00
diagnostic-records,after,12,19477362,0.015804999999994962,5922807,100.00
diagnostic-records,after,13,19227398,0.01528400000000385,5922543,100.00
diagnostic-records,before,13,18962446,0.01449200000000328,5083194,100.00
diagnostic-records,before,14,19127091,0.015205999999994724,5083180,100.00
diagnostic-records,after,14,20670810,0.015468999999994182,5922520,100.00
diagnostic-records,after,15,20229366,0.015628000000006637,5922502,100.00
diagnostic-records,before,15,20374498,0.015185000000009552,5083121,100.00
diagnostic-records,before,16,19113726,0.015079999999999316,5083180,100.00
diagnostic-records,after,16,20273536,0.015315000000001078,5922544,100.00
