case,variant,sample,wall_ns,cpu_seconds,peak_rss_kib,object_bytes,instructions,counter_running_percent
compiler-fast,before,0,1149882847,1.138584,1708340,36106824,11770181604,100.0
compiler-fast,after,0,1283863049,1.1518680000000001,1707116,36104568,11767465094,100.0
compiler-fast,after,1,4128162354,1.141703,1706872,36104568,11767477568,100.0
compiler-fast,before,1,1161375643,1.134819,1707952,36106824,11770195778,100.0
compiler-fast,before,2,1157566798,1.135395,1708256,36106824,11770195408,100.0
compiler-fast,after,2,1208436171,1.180701,1706928,36104568,11767478144,100.0
compiler-fast,after,3,1226708674,1.215527,1707360,36104568,11767478753,100.0
compiler-fast,before,3,2434175026,1.1545560000000001,1708376,36106824,11770182077,100.0
compiler-fast,before,4,2257981623,1.148744,1708064,36106824,11770195839,100.0
compiler-fast,after,4,1212400190,1.1840670000000002,1706992,36104568,11767478940,100.0
compiler-fast,after,5,1346295042,1.3215320000000002,1707024,36104568,11767457010,100.0
compiler-fast,before,5,1361463574,1.3377320000000001,1707968,36106824,11770182250,100.0
compiler-fast,before,6,1349163149,1.319159,1708392,36106824,11770195613,100.0
compiler-fast,after,6,2412237812,1.3707200000000002,1707260,36104568,11767477519,100.0
compiler-fast,after,7,1173870769,1.152938,1706748,36104568,11767476935,100.0
compiler-fast,before,7,1307783078,1.299385,1708080,36106824,11770195908,100.0
compiler-fast,before,8,1680494648,1.27556,1708348,36106824,11770195080,100.0
compiler-fast,after,8,1339659993,1.320148,1707180,36104568,11767465229,100.0
operations-fast,before,0,25018116,0.024498,58980,35976,107186561,100.0
operations-fast,after,0,24325807,0.023843,60368,35976,107186669,100.0
operations-fast,after,1,24313311,0.023856,60464,35976,107186460,100.0
operations-fast,before,1,25141943,0.024599999999999997,59296,35976,107186656,100.0
operations-fast,before,2,24501319,0.024039,59204,35976,107186469,100.0
operations-fast,after,2,24641910,0.024235,60192,35976,107186832,100.0
operations-fast,after,3,24662063,0.024138,60480,35976,107186521,100.0
operations-fast,before,3,25054451,0.024579999999999998,59136,35976,107186919,100.0
operations-fast,before,4,24735115,0.024225,58680,35976,107187032,100.0
operations-fast,after,4,24441641,0.024020999999999997,60504,35976,107186672,100.0
operations-fast,after,5,24359318,0.023894,60548,35976,107186344,100.0
operations-fast,before,5,25244051,0.024686,58992,35976,107186413,100.0
operations-fast,before,6,24439961,0.024036,59208,35976,107185946,100.0
operations-fast,after,6,24713002,0.024076,60892,35976,107186231,100.0
operations-fast,after,7,24824262,0.024345,60444,35976,107187216,100.0
operations-fast,before,7,24555131,0.024141,59192,35976,107186207,100.0
operations-fast,before,8,25356299,0.024794,59120,35976,107186956,100.0
operations-fast,after,8,25137698,0.024721999999999997,60056,35976,107187109,100.0
