workload,phase,pair,warmup,variant,wallNs,userCpuNs,systemCpuNs,maxRssKiB,instructionsUser,sha256,command
deep-1023,timing,5,False,after,40166144,16504000,3306000,56164,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing-5-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,5,False,before,45677285,19214000,3027000,55700,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing-5-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,6,False,before,40057903,11770000,7806000,55700,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing-6-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,6,False,after,40009206,16393000,3272000,55788,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing-6-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,7,False,after,40214467,14620000,4868000,56008,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing-7-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,7,False,before,39750678,15821000,3387000,55516,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing-7-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,8,False,before,40813091,15216000,4331000,55784,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing-8-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,8,False,after,39077675,17673000,978000,56032,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing-8-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,counter,0,False,before,,,,,94722191,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""taskset"", ""-c"", ""2"", ""perf"", ""stat"", ""-x"", "";"", ""-e"", ""instructions:u"", ""--"", ""BASELINE"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,counter,0,False,after,,,,,94722305,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""taskset"", ""-c"", ""2"", ""perf"", ""stat"", ""-x"", "";"", ""-e"", ""instructions:u"", ""--"", ""CANDIDATE"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
