checksum,cpu_seconds,mode,output_bytes,pair,peak_rss_kib,variant,wall_ns,workload
9280,,quality,,4,,baseline,31601487,kernel_10000000_calls
,0.06264499999999999,quality,200824,4,42852,candidate,62825547,compile_1024_functions
9280,,quality,,4,,candidate,24779205,kernel_10000000_calls
,0.064892,quality,200824,5,42852,candidate,65120269,compile_1024_functions
9280,,quality,,5,,candidate,25411813,kernel_10000000_calls
,0.068945,quality,217208,5,42992,baseline,69128082,compile_1024_functions
9280,,quality,,5,,baseline,30261872,kernel_10000000_calls
,0.061208,quality,217208,6,42668,baseline,61366205,compile_1024_functions
9280,,quality,,6,,baseline,36330838,kernel_10000000_calls
,0.06103499999999999,quality,200824,6,42816,candidate,61226082,compile_1024_functions
9280,,quality,,6,,candidate,26100135,kernel_10000000_calls
,0.071245,quality,200824,7,42676,candidate,72896237,compile_1024_functions
9280,,quality,,7,,candidate,23291347,kernel_10000000_calls
,0.067752,quality,217208,7,42940,baseline,67925748,compile_1024_functions
9280,,quality,,7,,baseline,34618766,kernel_10000000_calls
