round,job,metric,base_median,head_median,ratio_median,ratio_low_99,ratio_high_99,base_relative_mad,head_relative_mad
0,tiny_startup,wall_seconds,0.0028710945043712854,0.0029197980002209079,1.0347874835197362,0.91748813185612066,1.1681448795669227,0.03866957510900957,0.043747376759499197
0,tiny_startup,cpu_seconds,0.0027460000000000002,0.0027584999999999997,1.0491929078431981,0.93289290681502091,1.1205498766302433,0.040240349599417226,0.039332970817473223
0,tiny_startup,peak_rss_bytes,7389184,7321600,0.99137311877132506,0.96177285318559558,1.0543735224586288,0.0058203991130820398,0.011748251748251748
0,many_functions,wall_seconds,0.0093189750004967209,0.0090336004977871198,1.0205384383900165,0.88464769684996092,1.1524917536873367,0.027173160190041325,0.057063348803759233
0,many_functions,cpu_seconds,0.0091984999999999983,0.008935499999999999,1.0190316731912836,0.88140133951571342,1.1372422680412371,0.034788280697939884,0.056907839516535205
0,many_functions,peak_rss_bytes,13586432,13531136,0.99713959204404257,0.9779921615917998,1.0033272837265579,0.0025625565269822128,0.0043892840926290297
0,symbols_8,wall_seconds,0.0030164305026119109,0.0029811754975526128,0.96489162581667076,0.86151057383496255,1.1201685881105876,0.050705792410665598,0.038267957575307515
0,symbols_8,cpu_seconds,0,0,0,0,0,0,0
0,symbols_8,peak_rss_bytes,7659520,7696384,1.0058682419664038,0.99098143236074265,1.0204301075268818,0.0053475935828877002,0.0047897817988291642
0,symbols_64,wall_seconds,0.0045942870019644033,0.0044102624997321982,0.95011715225432392,0.88009940997520475,1.2642805623509441,0.038880897444867148,0.039672468588159919
0,symbols_64,cpu_seconds,0.0044539999999999996,0.0042699999999999995,0.97861021353706401,0.87883211678832118,1.1759557807462,0.02986079928154475,0.044613583138173235
0,symbols_64,peak_rss_bytes,9099264,9115648,1.0017974566065073,0.98976412995104579,1.0186194368755677,0.0069772676119738914,0.0051673781172770165
0,symbols_512,wall_seconds,0.026569744000880746,0.020756679496116703,0.76832037274941845,0.70730818599926415,0.87822899736472348,0.0392462005490022,0.086589740615335642
0,symbols_512,cpu_seconds,0.0259355,0.020653499999999998,0.76390033115352118,0.70562465774857241,0.88645410774538436,0.039752462840508207,0.08746701527586119
0,symbols_512,peak_rss_bytes,20715520,20686848,1.0003961572783238,0.99465981012658233,1.0178354276449129,0.0013840830449826989,0.0033660033660033659
0,symbols_2048,wall_seconds,0.20534815500286641,0.11449951500253519,0.56431760256725472,0.50685754343631539,0.60171895500251193,0.031736956686493248,0.045680957649380773
0,symbols_2048,cpu_seconds,0.20518599999999998,0.11435049999999999,0.56414420406539356,0.50680305563752004,0.60146546510523657,0.031585975651360169,0.045552927184402452
0,symbols_2048,peak_rss_bytes,61685760,61657088,0.99926895025038953,0.99714778455823827,1.0020617185421654,0.00069721115537848611,0.0013950707500166081
