round,job,metric,assessment_available,base_median,head_median,ratio_median,ratio_low_99,ratio_high_99,base_relative_mad,head_relative_mad
0,tiny_startup,wall_seconds,1,0.0028710945043712854,0.0029197980002209079,1.0347874835197362,0.91748813185612066,1.1681448795669227,0.03866957510900957,0.043747376759499197
0,tiny_startup,cpu_seconds,1,0.0027460000000000002,0.0027584999999999997,1.0491929078431981,0.93289290681502091,1.1205498766302433,0.040240349599417226,0.039332970817473223
0,tiny_startup,peak_rss_bytes,1,7389184,7321600,0.99137311877132506,0.96177285318559558,1.0543735224586288,0.0058203991130820398,0.011748251748251748
1,tiny_startup,wall_seconds,1,0.002992358997289557,0.0032667859995854087,1.0362605703389596,0.96560528508713606,1.3184205198296279,0.059757033957107089,0.13147371765424803
1,tiny_startup,cpu_seconds,1,0.0028830000000000001,0.0030784999999999996,1.022565218665588,0.87914230019493167,1.3376521397722811,0.06711758584807502,0.10167289264252069
1,tiny_startup,peak_rss_bytes,1,7407616,7442432,1.0082692700431788,0.98849315068493149,1.0273522975929978,0.0085706386508155926,0.010181618051733628
0,many_functions,wall_seconds,1,0.0093189750004967209,0.0090336004977871198,1.0205384383900165,0.88464769684996092,1.1524917536873367,0.027173160190041325,0.057063348803759233
0,many_functions,cpu_seconds,1,0.0091984999999999983,0.008935499999999999,1.0190316731912836,0.88140133951571342,1.1372422680412371,0.034788280697939884,0.056907839516535205
0,many_functions,peak_rss_bytes,1,13586432,13531136,0.99713959204404257,0.9779921615917998,1.0033272837265579,0.0025625565269822128,0.0043892840926290297
1,many_functions,wall_seconds,1,0.0098271765018580481,0.0089784339979814831,0.92761253459152138,0.6751015229543752,1.0655824920559456,0.078203693455561524,0.034169934616529223
1,many_functions,cpu_seconds,1,0.0096439999999999998,0.0087789999999999986,0.93836527792624347,0.67325509573810993,1.0724035608308604,0.091663210286188332,0.030983027679690137
1,many_functions,peak_rss_bytes,1,13553664,13584384,1.001810718356372,0.99153567110036278,1.0190827947060634,0.0025687518887881535,0.0048243630333182569
0,symbols_8,wall_seconds,1,0.0030164305026119109,0.0029811754975526128,0.96489162581667076,0.86151057383496255,1.1201685881105876,0.050705792410665598,0.038267957575307515
0,symbols_8,cpu_seconds,0,NA,NA,NA,NA,NA,NA,NA
0,symbols_8,peak_rss_bytes,1,7659520,7696384,1.0058682419664038,0.99098143236074265,1.0204301075268818,0.0053475935828877002,0.0047897817988291642
1,symbols_8,wall_seconds,1,0.0030343440012075007,0.0030373774970939849,0.99651836505928471,0.8192103604536719,1.1278184453973494,0.070749229617634177,0.085550940525278424
1,symbols_8,cpu_seconds,1,0.0028909999999999999,0.0029229999999999998,0.9929424488774472,0.82731169626454382,1.1632296399860189,0.067623659633344838,0.08176530961341083
1,symbols_8,peak_rss_bytes,1,7661568,7653376,0.99682213777018269,0.98072805139186292,1.0123192287091591,0.0088211708099438652,0.0061546695210061547
0,symbols_64,wall_seconds,1,0.0045942870019644033,0.0044102624997321982,0.95011715225432392,0.88009940997520475,1.2642805623509441,0.038880897444867148,0.039672468588159919
0,symbols_64,cpu_seconds,1,0.0044539999999999996,0.0042699999999999995,0.97861021353706401,0.87883211678832118,1.1759557807462,0.02986079928154475,0.044613583138173235
0,symbols_64,peak_rss_bytes,1,9099264,9115648,1.0017974566065073,0.98976412995104579,1.0186194368755677,0.0069772676119738914,0.0051673781172770165
1,symbols_64,wall_seconds,1,0.004705987998022465,0.0047564490014337935,1.0033217264873444,0.53697732690366684,1.1243252718276904,0.051690314283680247,0.083019390586759959
1,symbols_64,cpu_seconds,1,0.0046164999999999999,0.0046715000000000003,1.0014909470703275,0.63101844907754612,1.1315014720314034,0.062493230802556074,0.091405330193727985
1,symbols_64,peak_rss_bytes,1,9138176,9107456,1.0008948524287087,0.93597154290795914,1.0098522167487685,0.0069475571492604218,0.0092196986732628744
0,symbols_512,wall_seconds,1,0.026569744000880746,0.020756679496116703,0.76832037274941845,0.70730818599926415,0.87822899736472348,0.0392462005490022,0.086589740615335642
0,symbols_512,cpu_seconds,1,0.0259355,0.020653499999999998,0.76390033115352118,0.70562465774857241,0.88645410774538436,0.039752462840508207,0.08746701527586119
0,symbols_512,peak_rss_bytes,1,20715520,20686848,1.0003961572783238,0.99465981012658233,1.0178354276449129,0.0013840830449826989,0.0033660033660033659
1,symbols_512,wall_seconds,1,0.025383953998243669,0.020776588498847559,0.82265671808773688,0.71071309025135121,0.90891693354474201,0.036851114707268338,0.048904154713967328
1,symbols_512,cpu_seconds,1,0.025277499999999998,0.020670499999999998,0.82189596350688354,0.7088796871405566,0.90711537648501239,0.036870734843239994,0.049224740572313172
1,symbols_512,peak_rss_bytes,1,20692992,20678656,1.0008912070707212,0.99663499604117178,1.01925415484394,0.0013855898653998416,0.0028721402396751508
0,symbols_2048,wall_seconds,1,0.20534815500286641,0.11449951500253519,0.56431760256725472,0.50685754343631539,0.60171895500251193,0.031736956686493248,0.045680957649380773
0,symbols_2048,cpu_seconds,1,0.20518599999999998,0.11435049999999999,0.56414420406539356,0.50680305563752004,0.60146546510523657,0.031585975651360169,0.045552927184402452
0,symbols_2048,peak_rss_bytes,1,61685760,61657088,0.99926895025038953,0.99714778455823827,1.0020617185421654,0.00069721115537848611,0.0013950707500166081
1,symbols_2048,wall_seconds,1,0.21377579500040156,0.12146028950155596,0.56296842810878456,0.5314058817415146,0.61731622433159916,0.030408260205712329,0.06340212126585161
1,symbols_2048,cpu_seconds,1,0.213503,0.121279,0.56330035751730145,0.53081052092261571,0.61695004666639619,0.028828634726444095,0.062389201757930036
1,symbols_2048,peak_rss_bytes,1,61665280,61718528,1.0004982795309711,0.99926929719675839,1.003927834365222,0.00076386582530720687,0.00096230422086541014
