job,metric,base_median,candidate_median,ratio_median,ratio_low_99,ratio_high_99,base_relative_mad,candidate_relative_mad
functions_1_object,wall_seconds,0.089629279493237846,0.081116512497828808,0.9436447482295105,0.33802163717437289,1.8495335407156568,0.21743017026845166,0.17891829981886087
functions_1_object,peak_rss_bytes,25534464,25819136,1.0103327452208224,0.9996796925048046,1.0159343312409463,0.0017645171639396856,0.0014277782184500675
functions_1_assembly,wall_seconds,0.098446166004578117,0.076380533500923775,0.80105901255573952,0.32083065476170686,1.0319442445308471,0.16645805183674764,0.099738783610263393
functions_1_assembly,peak_rss_bytes,25536512,25862144,1.0112060933497742,1.0035335689045937,1.0187650360866078,0.0012029833988290962,0.004434589800443459
functions_8_object,wall_seconds,0.075348425998527091,0.079620576507295482,1.1708537312560192,0.63607755474920946,1.5660671306931904,0.11948628495417044,0.14597864019662357
functions_8_object,peak_rss_bytes,25880576,26144768,1.0109493261482405,1.0003148614609572,1.0212968849332487,0.0030861755163409037,0.0032899890333698886
functions_8_assembly,wall_seconds,0.084632528501970228,0.086873529500735458,0.96641077715544754,0.75649727373904285,1.6593144139284688,0.15635376527221967,0.20804778623046449
functions_8_assembly,peak_rss_bytes,25894912,26202112,1.0116983971165872,0.99419061077092163,1.017476962186209,0.0020563112938943372,0.0025793340628419573
functions_256_object,wall_seconds,0.096413381499587558,0.099583000504935626,1.1084598874951397,0.64957202451764151,1.9983642280934175,0.2894135758443469,0.091400338923723595
functions_256_object,peak_rss_bytes,28950528,29294592,1.0135188779110798,1.0042390843577786,1.0187260604341042,0.0018392756083757782,0.0045441834451901567
functions_256_assembly,wall_seconds,0.188071108495933,0.11167712350288639,0.68917927810144486,0.38410610741463597,1.4663817939337198,0.13099761944736263,0.11462636299389006
functions_256_assembly,peak_rss_bytes,29036544,29306880,1.0065487774906348,1.0028074115665357,1.0236879432624113,0.003667654112004514,0.0041928721174004195
functions_512_object,wall_seconds,0.12491273799241753,0.11743588849640219,0.79622040377115877,0.51462958282190918,2.1127480811162069,0.14407138764056024,0.22424445224967879
functions_512_object,peak_rss_bytes,32010240,32407552,1.012853356543848,1.0065259117082535,1.0171927123428277,0.0015355086372360845,0.0021486349848331646
functions_512_assembly,wall_seconds,0.46106615300232079,0.12463394249789417,0.26143772088021078,0.12203402984336993,0.45344238225047623,0.085745257452018567,0.21309257711321167
functions_512_assembly,peak_rss_bytes,32149504,32598016,1.0128026163887207,1.0059591733231901,1.0228637118405928,0.0020384762390113389,0.0032669472890620092
functions_1024_object,wall_seconds,0.18287883049197262,0.2132596320079756,1.0834880378700036,0.37989609583034745,1.8214587766578092,0.11710267084087221,0.20881712623901397
functions_1024_object,peak_rss_bytes,38213632,38514688,1.0084654284921994,0.99914319374531435,1.0136676711149375,0.00069671472211801271,0.0026055514197596513
functions_1024_assembly,wall_seconds,1.4465855704984278,0.18456464749760926,0.17363750409389933,0.077296986457733918,0.20940519412298444,0.16300975608479304,0.059286876735861166
functions_1024_assembly,peak_rss_bytes,38664192,39141376,1.012370346422554,0.99746888842016457,1.0213128729752772,0.0018539117538005192,0.0028777731268313103
functions_2048_object,wall_seconds,0.26799158600624651,0.27884143849951215,1.0504156911500715,0.45222302920828028,1.4011406907127437,0.18846619871877918,0.11699951835089503
functions_2048_object,peak_rss_bytes,50573312,51132416,1.0102105666526291,1.0068736859129872,1.0150753768844221,0.0011338786749817769,0.0017222734008891737
functions_2048_assembly,wall_seconds,4.7286276789964177,0.31232051499682711,0.060632095495952165,0.034777910529506503,0.10095279777676727,0.10186441483588145,0.052939559549186326
functions_2048_assembly,peak_rss_bytes,51748864,52193280,1.0082319064033571,1.0044938505203407,1.013880076142132,0.00035618173183473166,0.00051010398273494217
