round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
0,0,0,1,1,0.159897598,0.130856,0.0098069999999999997,236785664,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,1132,0,65,5
0,0,1,0,1,0.15474432300000002,0.12862099999999999,0.0067710000000000001,237076480,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,694,0,43,4
0,0,0,1,0,0.18720378000000001,0.15131,0.016819000000000001,535748608,NA,NA,NA,NA,NA,NA,NA,NA,4070760,185768,16390,16384,4aa0872e25120bbac74407a0c0eed1da4ca15e7e5c6ab4015b2ea4c4abf2a53b,1261,0,118,5
0,0,1,0,0,0.186686241,0.14436299999999999,0.022969,535764992,NA,NA,NA,NA,NA,NA,NA,NA,4070760,185768,16390,16384,4aa0872e25120bbac74407a0c0eed1da4ca15e7e5c6ab4015b2ea4c4abf2a53b,1263,0,118,5
0,1,0,0,0,0.18746591200000001,0.134127,0.033534000000000001,536064000,NA,NA,NA,NA,NA,NA,NA,NA,4070760,185768,16390,16384,4aa0872e25120bbac74407a0c0eed1da4ca15e7e5c6ab4015b2ea4c4abf2a53b,822,0,51,4
0,1,1,1,0,0.188446268,0.13001299999999999,0.039008000000000001,535711744,NA,NA,NA,NA,NA,NA,NA,NA,4070760,185768,16390,16384,4aa0872e25120bbac74407a0c0eed1da4ca15e7e5c6ab4015b2ea4c4abf2a53b,1263,0,98,5
0,1,0,0,1,0.15518764200000001,0.12231399999999999,0.013590999999999999,236666880,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,1132,0,82,3
0,1,1,1,1,0.16018596700000001,0.137457,0.0033549999999999999,236785664,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,1146,0,30,4
0,2,0,0,1,0.156591442,0.13028199999999998,0.0066749999999999995,236740608,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,1133,0,43,4
0,2,1,1,1,0.15969902500000002,0.12099,0.019611,236765184,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,1134,0,54,5
0,2,0,0,0,0.18522780800000002,0.128803,0.037298999999999999,536035328,NA,NA,NA,NA,NA,NA,NA,NA,4070760,185768,16390,16384,4aa0872e25120bbac74407a0c0eed1da4ca15e7e5c6ab4015b2ea4c4abf2a53b,821,0,122,4
0,2,1,1,0,0.18829267100000002,0.15223,0.016556999999999999,535945216,NA,NA,NA,NA,NA,NA,NA,NA,4070760,185768,16390,16384,4aa0872e25120bbac74407a0c0eed1da4ca15e7e5c6ab4015b2ea4c4abf2a53b,814,0,56,4
0,3,0,1,1,0.16032111200000002,0.133991,0.0066969999999999998,236953600,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,689,0,52,4
0,3,1,0,1,0.15547577100000001,0.12243899999999999,0.01324,236552192,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,1135,0,32,4
0,3,0,1,0,0.187623868,0.15157699999999999,0.016833999999999998,536010752,NA,NA,NA,NA,NA,NA,NA,NA,4070760,185768,16390,16384,4aa0872e25120bbac74407a0c0eed1da4ca15e7e5c6ab4015b2ea4c4abf2a53b,819,0,106,6
0,3,1,0,0,0.18624416300000002,0.14679200000000001,0.020011999999999999,536150016,NA,NA,NA,NA,NA,NA,NA,NA,4070760,185768,16390,16384,4aa0872e25120bbac74407a0c0eed1da4ca15e7e5c6ab4015b2ea4c4abf2a53b,824,0,118,5
0,4,0,1,1,0.16125937800000001,0.12246699999999999,0.019330999999999997,236863488,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,1131,0,39,5
0,4,1,0,1,0.15466084500000002,0.121402,0.013486,236929024,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,1136,0,67,4
0,4,0,0,0,0.186951748,0.14468999999999999,0.023004999999999998,535810048,NA,NA,NA,NA,NA,NA,NA,NA,4070760,185768,16390,16384,4aa0872e25120bbac74407a0c0eed1da4ca15e7e5c6ab4015b2ea4c4abf2a53b,1266,0,106,3
0,4,1,1,0,0.189078995,0.137044,0.032624,536125440,NA,NA,NA,NA,NA,NA,NA,NA,4070760,185768,16390,16384,4aa0872e25120bbac74407a0c0eed1da4ca15e7e5c6ab4015b2ea4c4abf2a53b,822,0,124,4
0,5,0,1,0,0.188119225,0.13953299999999999,0.029204999999999998,535662592,NA,NA,NA,NA,NA,NA,NA,NA,4070760,185768,16390,16384,4aa0872e25120bbac74407a0c0eed1da4ca15e7e5c6ab4015b2ea4c4abf2a53b,1269,0,98,5
0,5,1,0,0,0.17937520100000001,0.13112699999999999,0.036067999999999996,535900160,NA,NA,NA,NA,NA,NA,NA,NA,4070760,185768,16390,16384,4aa0872e25120bbac74407a0c0eed1da4ca15e7e5c6ab4015b2ea4c4abf2a53b,1300,0,125,6
0,5,0,0,1,0.155318658,0.12325699999999999,0.012971,237019136,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,690,0,51,4
0,5,1,1,1,0.16067828100000001,0.12786600000000001,0.013451999999999999,236810240,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,1161,0,48,5
0,6,0,0,0,0.18563972000000001,0.14613499999999999,0.020382999999999998,535629824,NA,NA,NA,NA,NA,NA,NA,NA,4070760,185768,16390,16384,4aa0872e25120bbac74407a0c0eed1da4ca15e7e5c6ab4015b2ea4c4abf2a53b,1262,0,111,5
0,6,1,1,0,0.188255381,0.13919899999999999,0.029842999999999998,535818240,NA,NA,NA,NA,NA,NA,NA,NA,4070760,185768,16390,16384,4aa0872e25120bbac74407a0c0eed1da4ca15e7e5c6ab4015b2ea4c4abf2a53b,1300,0,108,5
0,6,0,1,1,0.16070765400000001,0.13169400000000001,0.0098750000000000001,236720128,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,1133,0,41,5
0,6,1,0,1,0.15516828600000002,0.11639899999999999,0.019400000000000001,236949504,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,691,0,59,8
0,7,0,0,1,0.154429121,0.12882299999999999,0.0064429999999999999,237002752,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,690,0,66,4
0,7,1,1,1,0.16025163000000001,0.12739999999999999,0.013406999999999999,236507136,NA,NA,NA,NA,NA,NA,NA,NA,2163832,953001,8193,8192,264e3ed88f111daa0e0ba34790d37d301075fc1bdc04f14fa580119f59edda66,1129,0,37,4
